auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_debt,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,occupancy_status,online_event,opening_bid,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2752640.0,226000,2019-09-11,Unknown,1,4,0.0,1.0,,0.0,226000.0,0.0,1069,/details/5628-7th-street-keyes-ca-95328-2752640-e_13391a,0.0,0.16,,0.0,,122.0,5628 7TH STREET,KEYES,Stanislaus,2752640,Occupied,CA,SFR,95328,19.0,Completed - Pending Sale Result,1.0,ZT23500,402399.0,Live,1947
2807552.0,Not Available,2019-09-13,Unknown,2,2,0.0,1.0,,,,0.0,1084,/details/3035-colby-st-berkeley-ca-94705-2807552-e_13391a,0.0,0.03,,0.0,,1168.0,3035 COLBY ST,Berkeley,Alameda,2807552,Occupied,CA,Duplex,94705,72.0,Completed - Pending Sale Result,1.0,ZS23000,401363.0,Live,1918
2840729.0,335000,2019-09-10,Unknown,2,3,0.0,1.0,,,335000.0,0.0,1336,/details/5021-tacomic-drive-sacramento-ca-95842-2840729-e_900x,0.0,0.14,,0.0,,49.0,5021 TACOMIC DRIVE,Sacramento,Sacramento,2840729,Occupied,CA,SFR,95842,6.0,Completed - Pending Sale Result,1.0,RP21575,376762.0,Live,1976
2815134.0,926000,2019-09-13,Unknown,5,4,0.0,1.0,,,926000.0,0.0,4472,/details/1815-kagehiro-dr-tracy-ca-95376-2815134-e_13391a,0.0,0.24,,0.0,,594.0,1815 KAGEHIRO DR,Tracy,San Joaquin,2815134,Occupied,CA,SFR,95376,10.0,Completed - Pending Sale Result,1.0,ZQ22001,399516.0,Live,2004
2731844.0,554000,2019-09-10,Unknown,,3,0.0,1.0,,,554000.0,0.0,2137,/details/8610-pershing-avenue-fair-oaks-ca-95628-2731844-e_900x,0.0,0.4,,0.0,,360.0,8610 PERSHING AVENUE,Fair Oaks,Sacramento,2731844,Occupied,CA,SFR,95628,13.0,Completed - Pending Sale Result,1.0,RP21574,376762.0,Live,1978
2805840.0,1192000,2019-09-10,Unknown,2,3,0.0,1.0,,,1192000.0,0.0,1713,/details/340-fieldbrook-ln-watsonville-ca-95076-2805840-e_13391a,0.0,6.31,,0.0,,770.0,340 FIELDBROOK LN,Watsonville,Santa Cruz,2805840,Occupied,CA,,95076,22.0,Completed - Pending Sale Result,1.0,ZL5000,397035.0,Live,1978
2805990.0,716000,2019-09-11,Unknown,2,2,0.0,1.0,,,716000.0,0.0,1118,/details/2410-madden-ter-san-jose-ca-95116-2805990-e_13391a,0.0,0.01,,0.0,,553.0,2410 MADDEN TER,San Jose,Santa Clara,2805990,Occupied,CA,Condo,95116,20.0,Completed - Pending Sale Result,1.0,ZR6501,399517.0,Live,2003
2791151.0,1529000,2019-09-13,Unknown,1.5,3,0.0,1.0,,,1529000.0,0.0,1600,/details/1574-willowmont-ave-san-jose-ca-95118-2791151-e_13391a,0.0,0.14,,0.0,,674.0,1574 WILLOWMONT AVE,San Jose,Santa Clara,2791151,Occupied,CA,SFR,95118,55.0,Completed - Pending Sale Result,1.0,ZJ4000,397033.0,Live,1958
2814458.0,846000,2019-09-11,Unknown,3,4,0.0,1.0,,,846000.0,0.0,2462,/details/109-lookout-ct-hercules-ca-94547-2814458-e_13391a,0.0,0.1,,0.0,,198.0,109 LOOKOUT CT,Hercules,Contra Costa,2814458,Occupied,CA,SFR,94547,16.0,Completed - Pending Sale Result,1.0,AE3002,393258.0,Live,2000
