,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2837869,,,,,,,,,,,,,/details/6702-south-mariposa-lane-dublin-ca-94568-2837869-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2824105,,,,,,,,,,,,,/details/950-cragmont-avenue-berkeley-ca-94708-2824105-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2828998,,,,,,,,,,,,,/details/4158-aquarius-cir-union-city-ca-94587-2828998-e_13807,,,canceled,,,,,,,,,,,,,,,,,,
2815139,,,,,,,,,,,,,/details/2525-alameda-st-vallejo-ca-94590-2815139-e_13599a,,,canceled,,,,,,,,,,,,,,,,,,
2815316,,,,,,,,,,,,,/details/330-parkview-terrace-201-oakland-ca-94610-2815316-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2799446,,,,,,,,,,,,,/details/22558-6th-st-hayward-ca-94541-2799446-e_13755a,,,canceled,,,,,,,,,,,,,,,,,,
2805953,,,,,,,,,,,,,/details/2312-belvedere-ave-san-leandro-ca-94577-2805953-e_13547a,,,canceled,,,,,,,,,,,,,,,,,,
2687112,,,,,,,,,,,,,/details/19764-waverly-ave-hayward-ca-94541-2687112-e_13599,,,canceled,,,,,,,,,,,,,,,,,,
2670200,,,,,,,,,,,,,/details/2380-109th-avenue-oakland-ca-94603-2670200-e_13599,,,canceled,,,,,,,,,,,,,,,,,,
2657304,,,,,,,,,,,,,/details/2977-miraloma-way-union-city-ca-94587-2657304-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2652757,,,,,,,,,,,,,/details/16365-saratoga-ave-203e-aka16365-saratoga-st-203e-san-leandro-ca-94578-2652757-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
1439334,,,,,,,,,,,,,/details/29-kingwood-road-oakland-ca-94619-1439334-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2832785,,,,,,,,,,,,,/details/4418-canoe-birch-court-concord-ca-94521-2832785-e_13599,,,canceled,,,,,,,,,,,,,,,,,,
2837891,,,,,,,,,,,,,/details/408-lotus-ct-brentwood-ca-94513-2837891-e_14015,,,canceled,,,,,,,,,,,,,,,,,,
2837892,,,,,,,,,,,,,/details/3562-liscome-way-concord-ca-94518-2837892-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2819885,,,,,,,,,,,,,/details/28-edgemont-cir-walnut-creek-ca-94596-2819885-e_13599,,,canceled,,,,,,,,,,,,,,,,,,
2794804,,,,,,,,,,,,,/details/1405-stoney-gorge-way-antioch-ca-94531-2794804-e_13703,,,canceled,,,,,,,,,,,,,,,,,,
2787199,,,,,,,,,,,,,/details/1110-tara-hills-drive-pinole-ca-94564-2787199-e_13599,,,canceled,,,,,,,,,,,,,,,,,,
2763774,,,,,,,,,,,,,/details/2111-watermill-rd-san-ramon-ca-94582-2763774-e_13703,,,canceled,,,,,,,,,,,,,,,,,,
1402125,,,,,,,,,,,,,/details/2562-las-gallinas-avenue-san-rafael-ca-94903-1402125-e_13807,,,canceled,,,,,,,,,,,,,,,,,,
2828371,,,,,,,,,,,,,/details/4110-dry-creek-road-napa-ca-94558-2828371-e_13807,,,canceled,,,,,,,,,,,,,,,,,,
2751069,,,,,,,,,,,,,/details/44-solera-lane-american-canyon-ca-94503-2751069-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2831250,,,,,,,,,,,,,/details/7330-loma-verde-way-sacramento-ca-95822-2831250-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2823450,,,,,,,,,,,,,/details/2408-west-windrim-court-elk-grove-ca-95758-2823450-e_13703,,,canceled,,,,,,,,,,,,,,,,,,
2824780,,,,,,,,,,,,,/details/8511-noel-dr-orangevale-ca-95662-2824780-e_13911,,,canceled,,,,,,,,,,,,,,,,,,
2815333,,,,,,,,,,,,,/details/3110-lerwick-road-sacramento-ca-95821-2815333-o_1259l,,,canceled,,,,,,,,,,,,,,,,,,
2608580,,,,,,,,,,,,,/details/124-randolph-ave-south-san-francisco-ca-94080-2608580-e_13651,,,canceled,,,,,,,,,,,,,,,,,,
2840680,,,,,,,,,,,,,/details/1615-middlefield-ave-stockton-ca-95204-2840680-e_13547,,,canceled,,,,,,,,,,,,,,,,,,
2832560,,,,,,,,,,,,,/details/2445-w-del-rio-drive-stockton-ca-95204-2832560-o_1261l,,,canceled,,,,,,,,,,,,,,,,,,
2827324,,,,,,,,,,,,,/details/2619-courtney-way-stockton-ca-95210-2827324-e_13547,,,canceled,,,,,,,,,,,,,,,,,,
2818385,,,,,,,,,,,,,/details/8314-tam-o-shanter-drive-stockton-ca-95210-2818385-e_13443,,,canceled,,,,,,,,,,,,,,,,,,
2790737,,,,,,,,,,,,,/details/3423-south-b-street-stockton-ca-95206-2790737-e_13547,,,canceled,,,,,,,,,,,,,,,,,,
2780746,,,,,,,,,,,,,/details/9608-twin-creeks-ave-stockton-ca-95219-2780746-e_13547a,,,canceled,,,,,,,,,,,,,,,,,,
2835659,,,,,,,,,,,,,/details/2354-poplar-avenue-east-palo-alto-ca-94303-2835659-e_13547,,,canceled,,,,,,,,,,,,,,,,,,
2819203,,,,,,,,,,,,,/details/19-lone-mountain-ct-pacifica-ca-94044-2819203-e_13547a,,,canceled,,,,,,,,,,,,,,,,,,
2798716,,,,,,,,,,,,,/details/1424-hopkins-ave-redwood-city-ca-94062-2798716-e_13651a,,,canceled,,,,,,,,,,,,,,,,,,
1985147,,,,,,,,,,,,,/details/710-mariners-island-blvd-108-san-mateo-ca-94404-1985147-e_13443,,,canceled,,,,,,,,,,,,,,,,,,
2837297,,,,,,,,,,,,,/details/1966-meridian-ave-2nd-lien-san-jose-ca-95125-2837297-e_13547,,,canceled,,,,,,,,,,,,,,,,,,
2829022,,,,,,,,,,,,,/details/1966-meridian-avenue-san-jose-ca-95125-2829022-e_13443,,,canceled,,,,,,,,,,,,,,,,,,
2813021,,,,,,,,,,,,,/details/1679-valley-crest-court-san-jose-ca-95131-2813021-e_13755,,,canceled,,,,,,,,,,,,,,,,,,
2787080,,,,,,,,,,,,,/details/4006-teale-avenue-san-jose-ca-95117-2787080-e_14067,,,canceled,,,,,,,,,,,,,,,,,,
2780886,,,,,,,,,,,,,/details/2080-gwinn-ave-san-martin-ca-95046-2780886-e_13807a,,,canceled,,,,,,,,,,,,,,,,,,
2747558,,,,,,,,,,,,,/details/42-sister-city-way-gilroy-ca-95020-2747558-e_13443,,,canceled,,,,,,,,,,,,,,,,,,
2652376,,,,,,,,,,,,,/details/2778-scottsdale-drive-san-jose-ca-95148-2652376-e_13443,,,canceled,,,,,,,,,,,,,,,,,,
1418101,,,,,,,,,,,,,/details/1028-wilsham-drive-san-jose-ca-95132-1418101-e_13443,,,canceled,,,,,,,,,,,,,,,,,,
2812523,,,,,,,,,,,,,/details/230-shasta-st-watsonville-ca-95076-2812523-e_900x,,,canceled,,,,,,,,,,,,,,,,,,
2805858,,,,,,,,,,,,,/details/412-harrison-ave-santa-cruz-ca-95062-2805858-e_13807a,,,canceled,,,,,,,,,,,,,,,,,,
2841275,,,,,,,,,,,,,/details/2706-blakely-lane-fairfield-ca-94533-2841275-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2834873,,,,,,,,,,,,,/details/2130-griffin-drive-vallejo-ca-94589-2834873-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2805519,,,,,,,,,,,,,/details/620-w-f-st-dixon-ca-95620-2805519-e_13911,,,canceled,,,,,,,,,,,,,,,,,,
2645453,,,,,,,,,,,,,/details/3345-spyglass-ct-fairfield-ca-94534-2645453-e_13495,,,canceled,,,,,,,,,,,,,,,,,,
2596579,,,,,,,,,,,,,/details/2000-cliffwood-drive-fairfield-ca-94534-2596579-e_13599,,,canceled,,,,,,,,,,,,,,,,,,
2843865,,,,,,,,,,,,,/details/15560-monte-rosa-avenue-guerneville-ca-95446-2843865-e_13547,,,canceled,,,,,,,,,,,,,,,,,,
2831977,,,,,,,,,,,,,/details/4036-lancaster-avenue-santa-rosa-ca-95407-2831977-e_13443,,,canceled,,,,,,,,,,,,,,,,,,
2805634,,,,,,,,,,,,,/details/1144-prunetree-ct-santa-rosa-ca-95401-2805634-e_13547a,,,canceled,,,,,,,,,,,,,,,,,,
2672554,,,,,,,,,,,,,/details/120-paul-wittke-drive-healdsburg-ca-95448-2672554-e_13755,,,canceled,,,,,,,,,,,,,,,,,,
