auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid,auction_status,bid_count,occupancy_status,status_label
2791923,527000,2019-09-19,3.0,4.0,1.0,527000.0,0.0,2641.0,/details/1973-oak-tree-lane-stockton-ca-95209-2791923-e_13443,0.0,0.17,0.0,1072.0,1973 OAK TREE LANE,Stockton,San Joaquin,2791923.0,Occupied,CA,SFR,95209.0,31.0,1.0,ZW25005,389263.0,Live,2004.0,560196.0,255000.0,255000.0,,,,
2792410,Not Available,2019-10-17,,,1.0,,0.0,,/details/6669-embarcadero-dr-18-stockton-ca-95219-2792410-e_13651,0.0,,0.0,125.0,6669 EMBARCADERO DR 18,STOCKTON,San Joaquin,2792410.0,Occupied,CA,,95219.0,4.0,1.0,BD15503,387484.0,Live,,254910.0,,,,,,
2792927,608000,2019-10-08,2.0,3.0,1.0,608000.0,0.0,2008.0,/details/1070-south-san-mateo-street-redlands-ca-92373-2792927-e_13598,0.0,0.23,0.0,311.0,1070 SOUTH SAN MATEO STREET,Redlands,San Bernardino,2792927.0,Occupied,CA,SFR,92373.0,39.0,1.0,AG2527,386311.0,Live,1970.0,298726.0,240000.0,240000.0,,,,
2794805,518000,2019-10-08,2.5,4.0,1.0,518000.0,0.0,1799.0,/details/2013-mt-hamilton-dr-antioch-ca-94531-2794805-e_13599,0.0,0.11,0.0,8.0,2013 MT HAMILTON DR,Antioch,Contra Costa,2794805.0,Occupied,CA,SFR,94531.0,25.0,1.0,ZY26021,386699.0,Live,1991.0,,305000.0,305000.0,,,,
2794810,1327000,2019-10-10,1.0,3.0,1.0,1327000.0,0.0,1342.0,/details/5726-shepherd-canyon-rd-oakland-ca-94611-2794810-e_13599,0.0,0.69,0.0,1491.0,5726 SHEPHERD CANYON RD,Oakland,Alameda,2794810.0,Occupied,CA,SFR,94611.0,93.0,1.0,ZV1506,385373.0,Live,1922.0,306530.0,245000.0,245000.0,,,,
2795214,758000,2019-11-04,2.5,3.0,1.0,758000.0,0.0,2732.0,/details/4701-myrtle-drive-concord-ca-94521-2795214-e_13807,0.0,0.51,0.0,126.0,4701 MYRTLE DRIVE,Concord,Contra Costa,2795214.0,Occupied,CA,SFR,94521.0,33.0,1.0,AE3004,394024.0,Live,1951.0,523797.0,450000.0,450000.0,,,,
2797488,Not Available,2019-10-09,2.0,3.0,1.0,,0.0,1514.0,/details/419-bell-avenue-fairfield-ca-94533-2797488-e_13599,0.0,0.14,0.0,1129.0,419 BELL AVENUE,Fairfield,Solano,2797488.0,Occupied,CA,SFR,94533.0,27.0,1.0,AA1000,384416.0,Live,1950.0,106195.0,85000.0,85000.0,,,,
2797489,605000,2019-09-11,2.5,4.0,1.0,605000.0,0.0,2230.0,/details/151-shady-lane-vallejo-ca-94591-2797489-e_13391,0.0,0.13,0.0,766.0,151 SHADY LANE,Vallejo,Solano,2797489.0,Occupied,CA,SFR,94591.0,31.0,1.0,ZR22501,386292.0,Live,1981.0,351153.0,280000.0,280000.0,,,,
2798009,2480000,2019-10-23,5.0,4.0,1.0,2480000.0,0.0,3434.0,/details/1-morgan-lane-san-rafael-ca-94901-2798009-e_13703,0.0,0.95,0.0,374.0,1 MORGAN LANE,San Rafael,Marin,2798009.0,Occupied,CA,SFR,94901.0,23.0,1.0,ZX15001,401296.0,Live,1950.0,1371966.0,1200000.0,1200000.0,,,,
2798012,573000,2019-09-25,2.0,4.0,1.0,573000.0,0.0,1813.0,/details/1237-del-mar-avenue-vallejo-ca-94589-2798012-e_13495,0.0,0.23,0.0,989.0,1237 DEL MAR AVENUE,Vallejo,Solano,2798012.0,Occupied,CA,SFR,94589.0,51.0,1.0,ZX20507,383724.0,Live,1963.0,217383.0,175000.0,175000.0,,,,
2798320,504000,2019-10-09,2.5,3.0,1.0,504000.0,0.0,2302.0,/details/307-branchwood-drive-rio-vista-ca-94571-2798320-e_13599,0.0,0.15,0.0,148.0,307 BRANCHWOOD DRIVE,Rio Vista,Solano,2798320.0,Occupied,CA,SFR,94571.0,10.0,1.0,AA1004,384416.0,Live,2005.0,,315000.0,315000.0,,,,
2798343,267000,2019-10-02,1.0,2.0,1.0,267000.0,0.0,1116.0,/details/410-empire-avenue-modesto-ca-95354-2798343-e_13547,0.0,0.18,0.0,131.0,410 EMPIRE AVENUE,Modesto,Stanislaus,2798343.0,Occupied,CA,SFR,95354.0,22.0,1.0,AC2010,392509.0,Live,1945.0,118315.0,95000.0,95000.0,,,,
2798716,Not Available,2019-09-18,,,1.0,,0.0,,/details/1424-hopkins-ave-redwood-city-ca-94062-2798716-e_13443a,0.0,,0.0,172.0,1424 HOPKINS AVE,Redwood City,San Mateo,2798716.0,Occupied,CA,,94062.0,92.0,1.0,BL48500,404753.0,Live,,,,,,,,
2798762,726000,2019-10-08,2.5,3.0,1.0,726000.0,0.0,1668.0,/details/2150-breaker-court-discovery-bay-ca-94505-2798762-e_13599,0.0,0.17,0.0,154.0,2150 BREAKER COURT,Discovery Bay,Contra Costa,2798762.0,Occupied,CA,SFR,94505.0,21.0,1.0,ZY26008,386699.0,Live,1987.0,525398.0,345000.0,345000.0,,,,
2799445,529000,2019-09-19,2.0,3.0,1.0,529000.0,0.0,1502.0,/details/4776-brookside-cir-fairfield-ca-94534-2799445-e_13443a,0.0,0.17,0.0,264.0,4776 BROOKSIDE CIR,Fairfield,Solano,2799445.0,Occupied,CA,SFR,94534.0,17.0,1.0,ZW3000,398011.0,Live,1992.0,,,,,,,
2800003,617000,2019-10-08,2.0,3.0,1.0,617000.0,0.0,2241.0,/details/917-promenade-drive-pittsburg-ca-94565-2800003-e_13599,0.0,0.17,0.0,286.0,917 PROMENADE DRIVE,Pittsburg,Contra Costa,2800003.0,Occupied,CA,SFR,94565.0,24.0,1.0,ZY26013,386699.0,Live,2005.0,424981.0,340000.0,340000.0,,,,
2801310,413000,2019-10-03,2.0,4.0,1.0,413000.0,0.0,2194.0,/details/7011-shoreham-place-stockton-ca-95207-2801310-e_13547,0.0,0.25,0.0,118.0,7011 SHOREHAM PLACE,Stockton,San Joaquin,2801310.0,Occupied,CA,SFR,95207.0,13.0,1.0,ZV24507,385706.0,Live,1976.0,449829.0,260000.0,260000.0,,,,
2802265,314000,2019-10-31,2.0,3.0,1.0,314000.0,0.0,1503.0,/details/1014-sunnyoak-way-stockton-ca-95209-2802265-e_13755,0.0,0.14,0.0,62.0,1014 SUNNYOAK WAY,Stockton,San Joaquin,2802265.0,Occupied,CA,SFR,95209.0,35.0,1.0,BF3505,392008.0,Live,1976.0,106753.0,85000.0,85000.0,,,,
2802267,464000,2019-10-03,2.0,3.0,1.0,464000.0,0.0,1774.0,/details/1434-junewood-place-manteca-ca-95336-2802267-e_13547,0.0,0.15,0.0,584.0,1434 JUNEWOOD PLACE,Manteca,San Joaquin,2802267.0,Occupied,CA,SFR,95336.0,38.0,1.0,ZV24505,385706.0,Live,1979.0,145734.0,115000.0,115000.0,,,,
2802301,423000,2019-09-22,,,,,,,/details/626-solano-way-redlands-ca-92374-2802301-o_1258l,,,1.0,2207.0,,,,2802301.0,,,SFR,,,,AK14303,398740.0,,1987.0,,,,,,,
2802653,760000,2019-09-16,,,,,,,/details/5003-nortonville-court-antioch-ca-94531-2802653-o_1257l,,,1.0,107.0,,,,2802653.0,,,SFR,,,,ZC70355,397359.0,,1999.0,,,,,,,
2803775,Not Available,2019-09-19,,,1.0,,0.0,,/details/8820-mill-creek-rd-healdsburg-ca-95448-2803775-e_13443,0.0,,0.0,956.0,8820 MILL CREEK RD,HEALDSBURG,Sonoma,2803775.0,Occupied,CA,,95448.0,19.0,1.0,ZY26001,390402.0,Live,,343179.0,275000.0,275000.0,,,,
2805519,382000,2019-09-25,1.0,3.0,1.0,382000.0,0.0,936.0,/details/620-w-f-st-dixon-ca-95620-2805519-e_13495,0.0,0.13,0.0,590.0,620 W F ST,Dixon,Solano,2805519.0,Occupied,CA,SFR,95620.0,14.0,1.0,ZX20504,383724.0,Live,1955.0,247784.0,200000.0,200000.0,,,,
2805634,706000,2019-10-02,2.0,3.0,1.0,706000.0,0.0,1790.0,/details/1144-prunetree-ct-santa-rosa-ca-95401-2805634-e_13547a,0.0,0.21,0.0,160.0,1144 PRUNETREE CT,Santa Rosa,Sonoma,2805634.0,Occupied,CA,SFR,95401.0,26.0,1.0,AD2500,403296.0,Live,1977.0,,,,,,,
2805833,1352000,2019-09-11,2.0,3.0,1.0,1352000.0,0.0,1523.0,/details/2650-thrasher-ln-san-jose-ca-95125-2805833-e_13391a,0.0,0.22,0.0,827.0,2650 THRASHER LN,San Jose,Santa Clara,2805833.0,Occupied,CA,SFR,95125.0,45.0,1.0,ZR6500,399517.0,Live,1953.0,393303.0,315000.0,315000.0,,,,
2805840,1192000,2019-09-10,2.0,3.0,1.0,1192000.0,0.0,1713.0,/details/340-fieldbrook-ln-watsonville-ca-95076-2805840-e_13391a,0.0,6.31,0.0,789.0,340 FIELDBROOK LN,Watsonville,Santa Cruz,2805840.0,Occupied,CA,,95076.0,22.0,1.0,ZL5000,397035.0,Live,1978.0,,0.0,,Unknown,0.0,,Active - Postponed to
2805859,993000,2019-10-07,2.0,4.0,1.0,993000.0,0.0,1594.0,/details/4969-berkeland-ct-san-jose-ca-95111-2805859-e_13339a,,0.14,0.0,0.0,4969 BERKELAND CT,San Jose,Santa Clara,2805859.0,Occupied,CA,SFR,95111.0,30.0,1.0,UK19001,411585.0,Live,1981.0,,,,Unknown,0.0,,Active - Scheduled for Auction
2805953,555000,2019-10-01,1.5,3.0,1.0,555000.0,0.0,1364.0,/details/2312-belvedere-ave-san-leandro-ca-94577-2805953-e_13547a,0.0,0.01,0.0,19.0,2312 BELVEDERE AVE,San Leandro,Alameda,2805953.0,Occupied,CA,Condo,94577.0,13.0,1.0,AG33000,405727.0,Live,1972.0,,,,,,,
2806635,1170000,2019-10-16,2.0,2.0,1.0,1170000.0,0.0,1793.0,/details/5315-silver-garden-way-san-jose-ca-95138-2806635-e_13651,0.0,0.01,0.0,878.0,5315 SILVER GARDEN WAY,San Jose,Santa Clara,2806635.0,,CA,Condo,95138.0,72.0,1.0,BG17004,393153.0,Live,1995.0,166967.0,135000.0,135000.0,,,,
2807545,478000,2019-10-15,2.0,3.0,1.0,478000.0,0.0,1434.0,/details/1714-ventura-way-suisun-city-ca-94585-2807545-e_13651a,0.0,0.16,0.0,227.0,1714 VENTURA WAY,Suisun City,Solano,2807545.0,Occupied,CA,SFR,94585.0,18.0,1.0,AA1000,393289.0,Live,1988.0,412081.0,,,,,,
2807879,459000,2019-10-23,2.0,4.0,1.0,459000.0,0.0,1618.0,/details/1355-macdonald-court-dixon-ca-95620-2807879-e_13703,0.0,0.2,0.0,0.0,1355 MACDONALD COURT,Dixon,Solano,2807879.0,Occupied,CA,SFR,95620.0,12.0,1.0,ZW14508,398204.0,Live,1978.0,392425.0,315000.0,315000.0,,,,
2808325,386000,2019-09-22,,,,,,,/details/10331-lombard-court-stockton-ca-95209-2808325-o_1258,,,1.0,316.0,,,,2808325.0,,,SFR,,,,ZA56500,401858.0,,1999.0,,,,,,,
2809494,638000,2019-10-30,2.0,2.0,1.0,638000.0,0.0,850.0,/details/6909-rodling-drive-g-san-jose-ca-95138-2809494-e_13755,0.0,0.01,0.0,2358.0,"6909 RODLING DRIVE, #G",San Jose,Santa Clara,2809494.0,Occupied,CA,Condo,95138.0,62.0,1.0,BH4501,392518.0,Live,1992.0,214517.0,170000.0,170000.0,,,,
2809501,425000,2019-11-14,2.0,3.0,1.0,425000.0,0.0,1364.0,/details/13480-brookwood-way-lathrop-ca-95330-2809501-e_13859,0.0,0.13,0.0,0.0,13480 BROOKWOOD WAY,Lathrop,San Joaquin,2809501.0,Occupied,CA,SFR,95330.0,9.0,1.0,AA1003,392521.0,Live,2002.0,328928.0,285000.0,285000.0,,,,
2809511,556000,2019-10-08,2.0,3.0,1.0,556000.0,0.0,1590.0,/details/5607-pecan-avenue-orangevale-ca-95662-2809511-e_13599,0.0,0.26,0.0,511.0,5607 PECAN AVENUE,Orangevale,Sacramento,2809511.0,Occupied,CA,Duplex,95662.0,22.0,1.0,ZW2020,386312.0,Live,1958.0,,240000.0,240000.0,,,,
2810100,570000,2019-12-18,2.0,4.0,1.0,570000.0,0.0,1835.0,/details/5089-lynnbrook-dr-fairfield-ca-94534-2810100-e_14119,0.0,0.14,0.0,0.0,5089 LYNNBROOK DR,Fairfield,Solano,2810100.0,Occupied,CA,SFR,94534.0,18.0,1.0,ZO21000,406067.0,Live,1989.0,356796.0,285000.0,285000.0,,,,
2811539,548000,2019-11-19,1.0,2.0,1.0,548000.0,0.0,954.0,/details/508-arch-street-martinez-ca-94553-2811539-e_13911,0.0,0.08,0.0,868.0,508 ARCH STREET,Martinez,Contra Costa,2811539.0,Occupied,CA,SFR,94553.0,42.0,1.0,AA1001,395299.0,Live,1927.0,183073.0,145000.0,145000.0,,,,
2811756,594000,2019-10-08,3.0,4.0,1.0,594000.0,0.0,2195.0,/details/1642-sycamore-dr-oakley-ca-94561-2811756-e_13599,0.0,0.12,0.0,279.0,1642 SYCAMORE DR,Oakley,Contra Costa,2811756.0,Occupied,CA,SFR,94561.0,13.0,1.0,ZY26004,386699.0,Live,2006.0,499803.0,400000.0,400000.0,,,,
