auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_debt,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,occupancy_status,online_event,opening_bid,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2787177.0,861000,2019-09-10,Gone,1,2,0.0,True,239997.0,239997.76,861000.0,False,957,/details/129-pioneer-ave-walnut-creek-ca-94597-2787177-e_13391,False,0.33,,False,239997.76,1105.0,129 PIONEER AVE,Walnut Creek,Contra Costa,2787177,Occupied,CA,SFR,94597,58.0,Completed - Sold to 3rd Party,True,ZO21016,385367.0,Live,1951
2796301.0,294000,2019-11-19,Unknown,1,3,0.0,True,205598.0,165000.0,294000.0,False,1064,/details/9921-redstone-drive-sacramento-ca-95827-2796301-e_13911,False,0.16,,False,165000.0,185.0,9921 REDSTONE DRIVE,Sacramento,Sacramento,2796301,Occupied,CA,SFR,95827,27.0,Active - Scheduled for Auction,True,AE3003,398278.0,Live,1961
2798694.0,1654000,2019-10-02,Unknown,4,4,0.0,True,,,1654000.0,False,5051,/details/9780-wexford-cir-granite-bay-ca-95746-2798694-e_13547a,False,,,False,,2502.0,9780 WEXFORD CIR,Granite Bay,Placer,2798694,Occupied,CA,SFR,95746,51.0,Active - Scheduled for Auction,True,AA1000,386628.0,Live,2004
2798702.0,437000,2019-09-19,Unknown,3,4,0.0,True,,,437000.0,False,2060,/details/8057-braemore-dr-sacramento-ca-95828-2798702-e_13443a,False,0.14,,False,,246.0,8057 BRAEMORE DR,Sacramento,Sacramento,2798702,Occupied,CA,SFR,95828,37.0,Active - Scheduled for Auction,True,AB1501,391834.0,Live,1985
2799202.0,316000,2019-09-24,Unknown,2,3,0.0,True,,,316000.0,False,1172,/details/7815-charmette-way-sacramento-ca-95823-2799202-e_13495a,False,0.13,,False,,5.0,7815 CHARMETTE WAY,Sacramento,Sacramento,2799202,Occupied,CA,SFR,95823,6.0,Active - Scheduled for Auction,True,AC2000,405099.0,Live,1974
2799205.0,316000,2019-10-01,Unknown,2,3,0.0,True,,,316000.0,False,1434,/details/7621-suncove-ln-sacramento-ca-95828-2799205-e_13547a,False,0.01,,False,,25.0,7621 SUNCOVE LN,Sacramento,Sacramento,2799205,Occupied,CA,Condo,95828,19.0,Active - Scheduled for Auction,True,ZT23500,405144.0,Live,1995
2799764.0,292000,2019-10-22,Unknown,2,3,0.0,True,,,292000.0,False,1090,/details/4124-cortright-way-north-highlands-ca-95660-2799764-e_13391a,False,0.17,,False,,0.0,4124 CORTRIGHT WAY,North Highlands,Sacramento,2799764,Occupied,CA,SFR,95660,18.0,Active - Scheduled for Auction,True,AI5000,412023.0,Live,1963
2800025.0,350000,2019-09-24,Unknown,3,4,0.0,True,114917.0,90000.0,350000.0,False,1560,/details/2-odom-court-sacramento-ca-95823-2800025-e_13495,False,0.19,,False,90000.0,2307.0,2 ODOM COURT,Sacramento,Sacramento,2800025,Occupied,CA,SFR,95823,110.0,Active - Scheduled for Auction,True,EY13007,382145.0,Live,1985
2801308.0,299000,2019-10-22,Unknown,1,2,0.0,True,153041.0,120000.0,299000.0,False,756,/details/451-peralta-avenue-sacramento-ca-95833-2801308-e_13703,False,0.47,,False,120000.0,610.0,451 PERALTA AVENUE,Sacramento,Sacramento,2801308,Occupied,CA,SFR,95833,29.0,Active - Scheduled for Auction,True,DY13001,394019.0,Live,1942
2802215.0,407000,2019-10-08,Unknown,2,3,0.0,True,306311.0,200000.0,407000.0,False,1352,/details/8337-argo-dr-citrus-heights-ca-95610-2802215-e_13599,False,0.18,,False,200000.0,78.0,8337 ARGO DR,Citrus Heights,Sacramento,2802215,Occupied,CA,SFR,95610,48.0,Active - Scheduled for Auction,True,ZW2052,386312.0,Live,1976
