auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid,auction_status,bid_count,occupancy_status,status_label
2842900,409000,2019-09-23,2,2,True,409000.0,False,1461,/details/724-westwood-avenue-lodi-ca-95242-2842900-e_900x,False,0.17,False,132.0,724 WESTWOOD AVENUE,Lodi,San Joaquin,2842900,Occupied,CA,SFR,95242,6.0,True,ZX25501,398431.0,Live,1953,,,,Unknown,0.0,,Completed - Pending Sale Result
2767253,562000,2019-09-24,3,4,True,562000.0,False,2004,/details/4516-shannondale-drive-antioch-ca-94531-2767253-e_13495,False,0.11,False,1566.0,4516 SHANNONDALE DRIVE,Antioch,Contra Costa,2767253,Occupied,CA,SFR,94531,148.0,True,AE3014,392505.0,Live,1990,169469.0,169469.17,169469.17,Gone,0.0,,Completed - Sold to 3rd Party
2799767,474000,2019-09-20,2,3,True,474000.0,False,1152,/details/1545-yardley-st-santa-rosa-ca-95403-2799767-e_13443a,False,0.01,False,713.0,1545 YARDLEY ST,Santa Rosa,Sonoma,2799767,Occupied,CA,Condo,95403,19.0,True,AL5500,400599.0,Live,1984,,,,Unknown,0.0,,Completed - Pending Sale Result
2835649,654000,2019-09-24,2.5,4,True,654000.0,False,2422,/details/5356-thunderbird-ct-antioch-ca-94531-2835649-e_13495,False,0.27,False,175.0,5356 THUNDERBIRD CT,Antioch,Contra Costa,2835649,Occupied,CA,SFR,94531,11.0,True,AE3015,392505.0,Live,1999,534621.0,430000.0,430000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2837190,446000,2019-09-24,2,4,True,446000.0,False,1754,/details/5108-rosbury-dell-pl-antelope-ca-95843-2837190-e_13495,False,0.26,False,241.0,5108 ROSBURY DELL PL,Antelope,Sacramento,2837190,Occupied,CA,SFR,95843,19.0,True,EY13026,382145.0,Live,1992,390976.0,300000.0,300000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2807240,581000,2019-09-24,3,5,True,581000.0,False,2237,/details/4400-caribou-court-antioch-ca-94531-2807240-e_13495,False,0.17,False,321.0,4400 CARIBOU COURT,Antioch,Contra Costa,2807240,Occupied,CA,SFR,94531,37.0,True,AE3021,392505.0,Live,1990,275129.0,275129.12,275129.12,Gone,0.0,,Completed - Sold to 3rd Party
2831186,234000,2019-09-24,1,2,True,234000.0,False,858,/details/7556-delta-pointe-way-sacramento-ca-95823-2831186-e_13495,False,0.14,False,591.0,7556 DELTA POINTE WAY,Sacramento,Sacramento,2831186,Occupied,CA,SFR,95823,31.0,True,EY13016,382145.0,Live,1988,97781.0,97781.4,97781.4,Gone,0.0,,Completed - Sold to 3rd Party
2829015,207000,2019-09-24,2,3,True,207000.0,False,1248,/details/3737-sacramento-road-phelan-ca-92371-2829015-e_13494,False,1.95,False,125.0,3737 SACRAMENTO ROAD,Phelan,San Bernardino,2829015,Occupied,CA,Mobile Home,92371,12.0,True,ZK2528,383569.0,Live,1991,160961.0,100000.0,100000.0,Gone,0.0,,Completed - Sold to 3rd Party
2806369,649000,2019-09-24,3,4,True,649000.0,False,3293,/details/515-coconut-pl-brentwood-ca-94513-2806369-e_13495,False,0.17,False,695.0,515 COCONUT PL,Brentwood,Contra Costa,2806369,,CA,SFR,94513,29.0,True,AE3004,392505.0,Live,2002,612025.0,450000.0,450000.0,Gone,0.0,,Completed - Reverted to Beneficiary
2658275,383000,2019-09-23,2,3,True,383000.0,False,1598,/details/9459-mammath-peak-ci-stockton-ca-95212-2658275-e_13495a,False,0.14,False,340.0,9459 MAMMATH PEAK CI,Stockton,San Joaquin,2658275,Occupied,CA,SFR,95212,29.0,True,ZX25500,398431.0,Live,2003,279706.0,,,Unknown,0.0,,Completed - Pending Sale Result
2837870,Not Available,2019-09-24,1.5,2,True,,False,1089,/details/1288-pine-creek-h-concord-ca-94520-2837870-e_13495,False,0.01,False,273.0,1288 PINE CREEK H,Concord,Contra Costa,2837870,Occupied,CA,Condo,94520,17.0,True,AE3017,392505.0,Live,1970,267994.0,267994.42,267994.42,Gone,0.0,,Completed - Sold to 3rd Party
2824815,410000,2019-09-24,2,3,True,410000.0,False,1733,/details/167-w-c-street-galt-ca-95632-2824815-e_13495,False,0.15,False,242.0,167 W C STREET,Galt,Sacramento,2824815,Occupied,CA,SFR,95632,15.0,True,EY13010,382145.0,Live,1992,347641.0,225000.0,225000.0,Gone,0.0,,Completed - Sold to 3rd Party
2819188,791000,2019-09-24,3,6,True,791000.0,False,3290,/details/201-fahmy-street-brentwood-ca-94513-2819188-e_13495,False,0.14,False,326.0,201 FAHMY STREET,Brentwood,Contra Costa,2819188,Occupied,CA,SFR,94513,27.0,True,AE3022,392505.0,Live,2004,504441.0,420000.0,420000.0,Gone,0.0,,Completed - Reverted to Beneficiary
