auction_id,after_repair_value,auction_date,baths,bedrooms,cash_only,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,trustee_sale,venue_code,venue_id,venue_type,year_built,est_debt,est_opening_bid,opening_bid,auction_status,bid_count,occupancy_status,status_label
2807564,530000,2019-09-25,2.5,3,True,530000.0,False,1805,/details/319-turnstone-circ-pittsburg-ca-94565-2807564-e_13495a,False,0.06,False,167.0,319 TURNSTONE CIRC,Pittsburg,Contra Costa,2807564,Occupied,CA,SFR,94565,17.0,True,AA1001,388847.0,Live,2005,523041.0,,,Unknown,0.0,,Completed - Pending Sale Result
2834872,388000,2019-09-25,1,3,True,388000.0,False,1092,/details/156-jordan-street-vallejo-ca-94591-2834872-e_13495,False,0.18,False,620.0,156 JORDAN STREET,Vallejo,Solano,2834872,Occupied,CA,SFR,94591,18.0,True,ZX20510,383724.0,Live,1942,70642.0,70642.41,70642.41,Gone,0.0,,Completed - Sold to 3rd Party
2839792,624000,2019-09-25,2,2,True,624000.0,False,1279,/details/528-palm-ave-martinez-ca-94553-2839792-e_900x,False,0.15,False,100.0,528 PALM AVE,Martinez,Contra Costa,2839792,Occupied,CA,SFR,94553,13.0,True,AA1002,388847.0,Live,1950,,,,Unknown,0.0,,Completed - Pending Sale Result
2738815,Not Available,2019-09-26,2,4,True,,False,2095,/details/139--141-n-alameda-avenue-azusa-ca-91702-2738815-e_13494,False,0.16,False,732.0,139- 141 N ALAMEDA AVENUE,AZUSA,Los Angeles,2738815,Occupied,CA,Duplex,91702,37.0,True,AA1077,371133.0,Live,1954,213493.0,213493.97,213493.97,Gone,0.0,,Completed - Sold to 3rd Party
