,auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,my_status,occupancy_status,online_event,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2758491,,978000,2019-11-21,Unknown,2.0,2.0,0.0,True,600000.0,978000.0,False,1764.0,/details/4484-tulip-avenue-oakland-ca-94619-2758491-e_13911,False,0.11,active,,0.0,45.0,4484 TULIP AVENUE,Oakland,Alameda,2758491,Occupied,CA,SFR,94619.0,70.0,Active - Scheduled for Auction,True,TM3503,398408.0,Live,1947.0
2761969,,1094000,2019-11-06,Unknown,2.0,3.0,0.0,True,,1094000.0,False,1867.0,/details/51-elysian-fields-dr-oakland-ca-94605-2761969-e_13807a,False,0.17,active,,0.0,355.0,51 ELYSIAN FIELDS DR,Oakland,Alameda,2761969,Occupied,CA,SFR,94605.0,103.0,Active - Scheduled for Auction,True,ZS23000,413435.0,Live,1956.0
1399178,,853000,2019-11-07,Unknown,2.0,2.0,0.0,True,325000.0,853000.0,False,950.0,/details/5181-fairbanks-cmn-fremont-ca-94555-1399178-e_13807,False,0.01,active,,0.0,1115.0,5181 FAIRBANKS CMN,Fremont,Alameda,1399178,Occupied,CA,Condo,94555.0,143.0,Active - Scheduled for Auction,True,YW8000,402338.0,Live,1989.0
2731715,,1303000,2019-10-21,Unknown,,4.0,0.0,True,,1303000.0,False,2023.0,/details/3305-hudson-crt-pleasanton-ca-94588-2731715-e_13703a,False,0.17,active,,0.0,1841.0,3305 HUDSON CRT,Pleasanton,Alameda,2731715,Occupied,CA,SFR,94588.0,76.0,Active - Scheduled for Auction,True,AA1000,398444.0,Live,1987.0
2717961,,784000,2019-10-24,Unknown,1.0,2.0,0.0,True,255000.0,784000.0,False,1205.0,/details/70-yosemite-avenue-308-oakland-ca-94611-2717961-e_13703,False,0.01,active,,0.0,693.0,70 YOSEMITE AVENUE #308,Oakland,Alameda,2717961,Occupied,CA,Condo,94611.0,130.0,Active - Scheduled for Auction,True,TD13504,395297.0,Live,1982.0
2712584,,587000,2019-11-21,Unknown,1.0,3.0,0.0,True,360000.0,587000.0,False,1440.0,/details/27360-marigold-court-hayward-ca-94545-2712584-e_13911,False,0.03,active,,0.0,360.0,27360 MARIGOLD COURT,Hayward,Alameda,2712584,Occupied,CA,Townhouse,94545.0,66.0,Active - Scheduled for Auction,True,TM3500,398408.0,Live,1971.0
2708299,,927000,2019-12-05,Unknown,2.0,3.0,0.0,True,500000.0,927000.0,False,1314.0,/details/5435-jonathan-dr-newark-ca-94560-2708299-e_14015,False,0.14,active,,0.0,241.0,5435 JONATHAN DR,Newark,Alameda,2708299,Occupied,CA,SFR,94560.0,106.0,Active - Scheduled for Auction,True,AE3000,414773.0,Live,1959.0
2675939,,546000,2019-10-24,Unknown,1.0,2.0,0.0,True,120000.0,546000.0,False,914.0,/details/10449-longfellow-avenue-oakland-ca-94603-2675939-e_13703,False,0.12,active,,0.0,232.0,10449 LONGFELLOW AVENUE,Oakland,Alameda,2675939,Occupied,CA,SFR,94603.0,226.0,Active - Scheduled for Auction,True,YV11500,414626.0,Live,1936.0
1400095,,1684000,2019-12-19,Unknown,2.0,3.0,0.0,True,660000.0,1684000.0,False,1690.0,/details/1254-virginia-street-berkeley-ca-94702-1400095-e_14119,False,0.1,active,,0.0,547.0,1254 VIRGINIA STREET,Berkeley,Alameda,1400095,,CA,SFR,94702.0,173.0,Active - Scheduled for Auction,True,AA1002,399488.0,Live,1924.0
2644168,,1145000,2019-11-07,Unknown,2.0,3.0,0.0,True,55000.0,1145000.0,False,1411.0,/details/1059-euclid-avenue-berkeley-ca-94708-2644168-e_13807,False,0.08,active,,0.0,3033.0,1059 EUCLID AVENUE,Berkeley,Alameda,2644168,Occupied,CA,SFR,94708.0,209.0,Active - Scheduled for Auction,True,YW8002,402338.0,Live,1927.0
