auction_id,after_repair_value,auction_date,auction_status,baths,bedrooms,bid_count,cash_only,est_debt,est_opening_bid,estimated_value,financing_available,home_square_footage,href,interior_access,lot_size,occupancy_status,online_event,opening_bid,propertyViews,property_address,property_city,property_county,property_id,property_occupancy_status,property_state_code,property_type,property_zip,saved_count,status_label,trustee_sale,venue_code,venue_id,venue_type,year_built
2694881.0,580000,2019-09-11,,2.0,4.0,,1.0,456203.0,335000.0,580000.0,0.0,1942.0,/details/746-del-mar-circle-vacaville-ca-95688-2694881-e_13391,0.0,0.08,,0.0,335000.0,282.0,746 DEL MAR CIRCLE,Vacaville,Solano,2694881.0,Occupied,CA,SFR,95688.0,26.0,,1.0,ZR22518,386292.0,Live,2014.0
2829026.0,358000,2019-09-11,,1.0,2.0,,1.0,320508.0,200000.0,358000.0,0.0,1096.0,/details/718-springs-rd-vallejo-ca-94590-2829026-e_13391,0.0,0.09,,0.0,200000.0,213.0,718 SPRINGS RD,Vallejo,Solano,2829026.0,Occupied,CA,SFR,94590.0,4.0,,1.0,ZR22509,386292.0,Live,1934.0
2829029.0,663000,2019-09-11,,2.5,4.0,,1.0,453868.0,453868.37,663000.0,0.0,2306.0,/details/153-camino-del-sol-vallejo-ca-94591-2829029-e_13391,0.0,0.08,,0.0,453868.37,542.0,153 CAMINO DEL SOL,Vallejo,Solano,2829029.0,Occupied,CA,SFR,94591.0,11.0,,1.0,ZR22510,386292.0,Live,1992.0
2787177.0,861000,2019-09-10,,1.0,2.0,,1.0,239997.0,239997.76,861000.0,0.0,957.0,/details/129-pioneer-ave-walnut-creek-ca-94597-2787177-e_13391,0.0,0.33,,0.0,239997.76,1075.0,129 PIONEER AVE,Walnut Creek,Contra Costa,2787177.0,Occupied,CA,SFR,94597.0,58.0,,1.0,ZO21016,385367.0,Live,1951.0
1365490.0,446000,2019-09-10,,3.0,4.0,,1.0,558846.0,328781.67,446000.0,0.0,2088.0,/details/5506-sagpond-way-sacramento-ca-95835-1365490-e_13391,0.0,0.06,,0.0,328781.67,488.0,5506 SAGPOND WAY,Sacramento,Sacramento,1365490.0,Occupied,CA,SFR,95835.0,23.0,,1.0,ZI18040,378717.0,Live,2005.0
2719859.0,391000,2019-10-03,,2.0,3.0,,1.0,229738.0,185000.0,391000.0,0.0,1040.0,/details/298-shadywood-avenue-lathrop-ca-95330-2719859-e_13547,0.0,0.12,,0.0,185000.0,40.0,298 SHADYWOOD AVENUE,Lathrop,San Joaquin,2719859.0,Occupied,CA,SFR,95330.0,56.0,,1.0,ZV24515,385706.0,Live,1998.0
2831476.0,Not Available,2019-09-05,,,,,,,,,,,/details/1142-corby-avenue-santa-rosa-ca-95407-2831476-o_1256l,,,,1.0,,332.0,,,,2831476.0,,,SFR,,,,,AJ14344,394871.0,,1946.0
2671990.0,302000,2019-09-19,,2.0,3.0,,1.0,127175.0,100000.0,302000.0,0.0,1313.0,/details/2101-la-jolla-dr-stockton-ca-95204-2671990-e_13443,0.0,0.14,,0.0,100000.0,215.0,2101 LA JOLLA DR,Stockton,San Joaquin,2671990.0,Occupied,CA,SFR,95204.0,7.0,,1.0,ZW25012,389263.0,Live,1955.0
2807932.0,373000,2019-09-08,,,,,,,,,,,/details/8729-los-olivas-ct-stockton-ca-95210-2807932-o_1256,,,,1.0,,321.0,,,,2807932.0,,,SFR,,,,,AD56612,398507.0,,1969.0
2755973.0,471000,2019-10-08,,1.0,2.0,,1.0,319796.0,255000.0,471000.0,0.0,845.0,/details/2214-rheem-ave-richmond-ca-94801-2755973-e_13599,0.0,0.06,,0.0,255000.0,27.0,2214 RHEEM AVE,Richmond,Contra Costa,2755973.0,Occupied,CA,SFR,94801.0,37.0,,1.0,ZY26020,386699.0,Live,1953.0
